"Name","m/z","RT [min]","HMDB","KEGG","Super_Class","Class","Sub_Class","log2FC_Processing_1","log2FC_Processing_2","log2FC_Processing_3","log2FC_Processing_4","PC1","PC2","Strength_PC1_PC2","Rank_Strength"
"Kuwanon C",421.16574,6.805,"HMDB0029507","","Phenylpropanoids and polyketides","Flavonoids","Flavones",NA,NA,NA,NA,0.0216695930828584,0.00843021974114315,0.0232516637955357,1410
"Neocryptolepine",233.11066,5.628,"","","Organoheterocyclic compounds","Quinolines and derivatives","Pyrroloquinolines",NA,NA,NA,NA,0.0227600466028138,-0.00456750878625534,0.0232138290222612,1411
"Penicillinolide A",271.15457,5.028,"","","Organoheterocyclic compounds","Lactones","",NA,NA,NA,NA,-0.013750849744081,-0.0186793888705085,0.0231949442176516,1412
"Glutaric acid",131.03506,1.43,"HMDB0000661","C00489","Organic acids and derivatives","Carboxylic acids and derivatives","Dicarboxylic acids and derivatives",NA,NA,NA,NA,0.0151881593039587,0.0175124929866523,0.0231811905140778,1413
"methyl 4-[(1S,2S)-1-(3,4-dimethoxyphenyl)-1-hydroxypropan-2-yl]oxy-3-methoxybenzoate",375.14832,8.427,"","","Phenylpropanoids and polyketides","Isoflavonoids","O-methylated isoflavonoids",NA,NA,NA,NA,-0.0218719403032579,0.00749440783232654,0.0231202924156792,1414
"25,26-epoxy-1alpha-hydroxy-23,23,24,24-tetradehydro-19-norvitamin D3",397.27563,8.059,"","","Lipids and lipid-like molecules","Steroids and steroid derivatives","Vitamin D and derivatives",NA,NA,NA,NA,0.0180722051359083,0.0143943063099092,0.0231041263115021,1415
"Puemiricarpene",353.13791,6.923,"","","Phenylpropanoids and polyketides","Isoflavonoids","Furanoisoflavonoids",NA,NA,NA,NA,-0.0224638833902357,0.00539210638119361,0.0231019667603478,1416
"3-(4-ethylphenyl)propanoic acid",177.09186,6.15,"","","Phenylpropanoids and polyketides","Phenylpropanoic acids","",NA,NA,NA,NA,0.0199560374307439,0.0116095625490972,0.0230873422575803,1417
"benthaminin 2",327.19675,7.505,"","","Lipids and lipid-like molecules","Prenol lipids","Diterpenoids",NA,NA,NA,NA,0.0205306538534649,0.0104888521380981,0.0230547992146034,1418
"2,8-bis(acetyloxy)-octahydroindolizin-1-yl acetate",300.14447,4.818,"","","Organoheterocyclic compounds","Indolizidines","",NA,NA,NA,NA,0.0207015684181741,0.0100887569920342,0.0230290675585588,1419
"5,14-dihydroxy-15-(3-methylbut-2-en-1-yl)-8,17-dioxatetracyclo[8.7.0.0,.0,]heptadeca-1(10),2,4,6,11,13,15-heptaene-4-carbaldehyde",351.12271,6.99,"","","Unknown","","",NA,NA,NA,NA,-0.0223556880504802,-0.00548024376163758,0.0230175989168581,1420
"(4r)-7-hydroxy-4-(4-hydroxy-3-methoxyphenyl)-5-[(1e)-2-(4-hydroxyphenyl)ethenyl]-3,4-dihydro-1-benzopyran-2-one",405.13019,6.224,"","","Phenylpropanoids and polyketides","Neoflavonoids","Neoflavans",NA,NA,NA,NA,-0.021607052575894,0.00784965640744944,0.0229887326038749,1421
"carinatin C",481.29959,8.968,"","","Lipids and lipid-like molecules","Prenol lipids","Triterpenoids",NA,NA,NA,NA,0.0205870071377051,0.0101984753643154,0.0229746330252405,1422
"Microferin",339.19794,7.675,"","","Lipids and lipid-like molecules","Prenol lipids","Sesquiterpenoids",NA,NA,NA,NA,0.0177077199482023,-0.0145454831428241,0.0229158116945951,1423
"3,16-dihydroxypalmitic acid",287.22244,5.788,"","","Lipids and lipid-like molecules","Fatty Acyls","Fatty acids and conjugates",NA,NA,NA,NA,-0.00869984132769796,0.0211548477271242,0.0228738895136995,1424
"Lespecyrtin E6",411.21533,7.5,"","","Phenylpropanoids and polyketides","Isoflavonoids","Furanoisoflavonoids",NA,NA,NA,NA,-0.0189405579212174,-0.0128215581573546,0.0228721902744231,1425
"Rimboxo",173.08574,4.525,"","","Organoheterocyclic compounds","Dioxanes","1,4-dioxanes",NA,NA,NA,NA,0.011000615920925,-0.0199710233674486,0.0228003360717093,1426
"2,6,10-Trimethyl-(E,E)-2,6,10,12-tridecatetraene",219.2106,8.091,"","","Lipids and lipid-like molecules","Prenol lipids","Sesquiterpenoids",NA,NA,NA,NA,-0.0225024805125696,-0.00363340839025939,0.0227939308972582,1427
"2,5-Dimethyl-N-(2-phenylethyl)pyrrole",200.14323,4.64,"","","Organoheterocyclic compounds","Pyrroles","Substituted pyrroles",NA,NA,NA,NA,-0.0139782627530988,0.0180042741166672,0.0227935454912736,1428
"Apteniol A",313.11063,8.183,"","","Benzenoids","Benzene and substituted derivatives","Diphenylethers",NA,NA,NA,NA,0.000914273382593439,0.0227324758632549,0.0227508539332392,1429
"9A-Hydroxy-1,8(14),15-Isopimaratrien-3,7,11-Trione",327.15973,6.227,"","","Benzenoids","Phenanthrenes and derivatives","Hydrophenanthrenes",NA,NA,NA,NA,0.0177503052565836,0.0141982441110029,0.0227302325667277,1430
"n1,n3-bis(2,6-dimethylphenyl)-2,2,4,4-tetramethylcyclobutane-1,3-diimine",347.24829,8.579,"","","Benzenoids","Benzene and substituted derivatives","Xylenes",NA,NA,NA,NA,0.022700819857893,0.000648432711938765,0.0227100789783396,1431
"Tremetone",203.10652,7.315,"HMDB0259119","C08992","Benzenoids","Benzene and substituted derivatives","Acetophenones",NA,NA,NA,NA,0.0076896145825336,-0.0213636542320477,0.0227054155340615,1432
"Ligulacephalin A",437.19269,7.249,"","","Organoheterocyclic compounds","Benzofurans","",NA,NA,NA,NA,0.0207067781760571,-0.00929243299468131,0.022696254611567,1433
"5-(1,2,4a,5-tetramethyl-7-oxo-3,4,8,8a-tetrahydro-2H-naphthalen-1-yl)-3-methylpentanoic acid",303.23135,7.272,"","","Lipids and lipid-like molecules","Prenol lipids","Diterpenoids",NA,NA,NA,NA,-0.0224925949325429,-0.00265353615493538,0.0226485779007205,1434
"Oxycurcumenol",251.16454,7.301,"","","Lipids and lipid-like molecules","Prenol lipids","Sesquiterpenoids",NA,NA,NA,NA,-0.00134590453917624,0.0226060505383603,0.0226460808965144,1435
"Ochrolic acid",313.07227,6.355,"","","Benzenoids","Phenanthrenes and derivatives","Phenanthrols",NA,NA,NA,NA,-0.0193001996872838,-0.0118307163150585,0.0226376579286909,1436
"2-[(4-Hydroxy-1,3-dihydro-2-benzofuran-1-yl)methyl]-5-pentyloxolane-3,4-diol",321.18326,5.19,"","","Organic oxygen compounds","Organooxygen compounds","Carbohydrates and carbohydrate conjugates",NA,NA,NA,NA,-0.0210894730624965,0.00805443337211134,0.0225752025682948,1437
"Physordinose A",679.4165,8.676,"","","Lipids and lipid-like molecules","Saccharolipids","",NA,NA,NA,NA,0.00898068740411516,-0.0207081017615311,0.0225716243282657,1438
"(4Z)-4-[(2E,4R,6E)-8-[(2R,3S,6R,8R,10S)-2-ethyl-10-hydroxy-3-methyl-1,7-dioxaspiro[5.5]undecan-8-yl]-4,6-dimethylocta-2,6-dienylidene]-6-hydroxy-7-methylisochromen-1-one",523.31122,7.485,"","","Lipids and lipid-like molecules","Fatty Acyls","Fatty alcohols",NA,NA,NA,NA,0.0147656676094371,0.0170717950748082,0.0225714670996067,1439
"PG 36:1",775.55005,9.353,"HMDB0010603","","Lipids and lipid-like molecules","Glycerophospholipids","Glycerophosphoglycerols",NA,NA,NA,NA,0.0176936261241436,0.0139829126264517,0.0225518569288642,1440
"Methyl (E)-3-(1,3-Benzodioxol-5-Yl)Prop-2-Enoate",205.05074,5.217,"","","Phenylpropanoids and polyketides","Cinnamic acids and derivatives","Hydroxycinnamic acids and derivatives",NA,NA,NA,NA,0.0129345351384305,0.0184738180393341,0.0225518103973433,1441
"25-hydroxy-ergosta-4,6,8(14),22E-tetraen-3-one",409.31009,8.793,"","","Lipids and lipid-like molecules","Steroids and steroid derivatives","Ergostane steroids",NA,NA,NA,NA,-0.0100918652008959,-0.0201615001602931,0.0225462154683786,1442
"(4ar,8s,8ar)-4,8-dimethyl-4a,5,6,7,8,8a-hexahydroisochromen-1-one",179.10757,6.66,"","","Organoheterocyclic compounds","Pyrans","Pyranones and derivatives",NA,NA,NA,NA,0.0197922341614957,0.0107941642386319,0.0225443233367967,1443
"rupestine L",192.1382,0.868,"","","Organoheterocyclic compounds","Pyridines and derivatives","Methylpyridines",NA,NA,NA,NA,0.0200347696933155,0.0102753765933779,0.022516113359102,1444
"pentylmalonic acid",173.08162,4.229,"","","Lipids and lipid-like molecules","Fatty Acyls","Fatty acids and conjugates",NA,NA,NA,NA,0.00973350334529746,-0.020303233831857,0.0225158253547139,1445
"(9S)-9-Hydroxy-9-[3-(hydroxymethyl)oxiranyl]-7-nonene-4-one",229.14053,4.508,"","","Lipids and lipid-like molecules","Fatty Acyls","Fatty alcohols",NA,NA,NA,NA,0.0156664534556815,0.0161341299270335,0.022488839729551,1446
"10-ethoxy-4,7,13,13-tetramethyl-18-oxapentacyclo[9.5.2.0,.0,.0,]octadeca-2(9),6-diene-3,5,17-trione",383.18896,8.968,"","","Unknown","","",NA,NA,NA,NA,0.0214900541983781,0.00660151029643538,0.0224811558342352,1447
"21-dehydroophiobolin U",365.24561,8.906,"","","Lipids and lipid-like molecules","Prenol lipids","Sesterterpenoids",NA,NA,NA,NA,-0.0147614839294581,-0.0169512854086501,0.0224777108444158,1448
"4-O-Methylphloracetophenone",181.05052,5.73,"HMDB0029646","C10680","Organic oxygen compounds","Organooxygen compounds","Carbonyl compounds",NA,NA,NA,NA,0.00965198119067224,-0.0202919350721448,0.0224704999917054,1449
"p-dicyclohexylbenzene",243.2104,8.026,"","","Benzenoids","Benzene and substituted derivatives","",NA,NA,NA,NA,-0.0168663109918041,0.0148070397532829,0.0224437268012145,1450
"9-azatetracyclo[7.6.1.0,.0,]hexadeca-2,4,6-triene",214.18022,5.049,"","","Unknown","","",NA,NA,NA,NA,0.00227470944964929,0.0223078792754239,0.0224235541528816,1451
"Lusianthrin",239.07161,6.282,"","","Benzenoids","Phenanthrenes and derivatives","Phenanthrols",NA,NA,NA,NA,0.00768924153128605,-0.0210579224627984,0.022417861935869,1452
"Lactarinic acid",297.24374,7.609,"","","Lipids and lipid-like molecules","Fatty Acyls","Fatty acids and conjugates",NA,NA,NA,NA,-0.021735178975232,0.00548661330768846,0.0224169786249947,1453
"borrelidin m",487.32278,8.301,"","","Phenylpropanoids and polyketides","Macrolides and analogues","",NA,NA,NA,NA,0.0196456294270555,-0.0107046355902042,0.0223727508077182,1454
"Benzoylcholine",208.13297,3.035,"","","Benzenoids","Benzene and substituted derivatives","Benzoic acids and derivatives",NA,NA,NA,NA,0.0034571687301805,0.0219897255364706,0.0222598302958096,1455
"8-[(5-Carboxy-2,9-Epoxy)Benzyl]-2,5-Dihydroxy-1,1,4A,7,8-Pentamethyl-1,2,3,4,4A,6,7,8,9,10,10A-Dodecahydrophenanthrene",439.25085,8.153,"","","Organic oxygen compounds","Organooxygen compounds","Ethers",NA,NA,NA,NA,0.0219011619527511,-0.00391436421406724,0.0222482166045057,1456
"1,4a-dimethyl-7-(prop-1-en-2-yl)-1,2,3,4,4a,9,10,10a-octahydrophenanthrene-1-carboxylic acid",297.18512,7.973,"","","Lipids and lipid-like molecules","Prenol lipids","Diterpenoids",NA,NA,NA,NA,0.0192921308754527,0.0110285679575468,0.0222219626700664,1457
"Dcneo",273.1311,4.456,"","","Phenylpropanoids and polyketides","Saxitoxins, gonyautoxins, and derivatives","",NA,NA,NA,NA,0.0024679088086125,0.0220186597393341,0.0221565329102772,1458
"octahydro-1h-quinolizin-5-ium-5-olate",156.13821,8.289,"","","Organoheterocyclic compounds","Quinolizines","",NA,NA,NA,NA,-0.0220906554285035,-0.000145579503008705,0.0220911351146239,1459
"13Z-Hexadecen-11-yn-1-ol",237.22096,8.091,"","","Lipids and lipid-like molecules","Fatty Acyls","Fatty alcohols",NA,NA,NA,NA,-0.0210831520255794,-0.00658893665107715,0.022088761520864,1460
"6-Methoxymicrominutinin",271.06082,6.434,"","","Unknown","","",NA,NA,NA,NA,0.0143785837357592,-0.0167453718120031,0.0220715007955614,1461
"2,2-dimethyl-2H,3H,4H,4aH,5H,6H,10bH-naphtho[1,2-b]pyran-5,6-dione",243.10263,5.867,"","","Organoheterocyclic compounds","Naphthopyrans","Naphthopyranones",NA,NA,NA,NA,0.0077879536998252,-0.0206507329349083,0.0220704552191279,1462
"PC(O-8:0/2:0)",412.24625,7.78,"","","Lipids and lipid-like molecules","Glycerophospholipids","Glycerophosphocholines",NA,NA,NA,NA,0.0219976259556428,0.000410954284797952,0.0220014642946456,1463
"Oxyquinoline",144.04547,3.228,"","C19434","Organoheterocyclic compounds","Quinolines and derivatives","8-hydroxyquinolines",NA,NA,NA,NA,-0.00838618862123386,-0.0202789611636528,0.0219445762198283,1464
"Periconiasin G",318.24097,6.729,"","","Organoheterocyclic compounds","Isoindoles and derivatives","Isoindolines",NA,NA,NA,NA,-0.0198502257322858,0.00924803722982978,0.0218988048584168,1465
"(4aS,7R)-7-ethenyl-4b,10-dihydroxy-1,1,4a,7-tetramethyl-3,4,5,6-tetrahydro-2H-phenanthren-9-one",317.20914,5.677,"","","Benzenoids","Phenanthrenes and derivatives","Hydrophenanthrenes",NA,NA,NA,NA,0.00388833531408314,0.0215336443047714,0.0218818872257207,1466
"2R-hydroxy-tetracosanoic acid",383.35352,9.239,"","","Lipids and lipid-like molecules","Fatty Acyls","Fatty acids and conjugates",NA,NA,NA,NA,0.020715215210481,0.0068978980067997,0.0218334866232756,1467
"Piperidin-2-One",100.07568,0.705,"HMDB0011749","","Organoheterocyclic compounds","Piperidines","Piperidinones",NA,NA,NA,NA,0.00612122296891677,0.0209238491022044,0.0218008447516837,1468
"Hydrocotarnine",222.11256,0.549,"HMDB0033701","C13534","Organoheterocyclic compounds","Tetrahydroisoquinolines","",NA,NA,NA,NA,0.0143047389683434,0.0164364970201185,0.0217895385734716,1469
"N-(3,4-dimethoxybenzyl)-hexadecanamide",406.33182,5.942,"","","Benzenoids","Benzene and substituted derivatives","Methoxybenzenes",NA,NA,NA,NA,-0.0217749527353362,-0.000317973477539066,0.0217772742499731,1470
"N-(2-methylpropyl)octa-2,4-dienamide",196.1696,6.037,"","","Organic acids and derivatives","Carboximidic acids and derivatives","Carboximidic acids",NA,NA,NA,NA,0.0168585177231783,0.0137318216560614,0.0217433333648867,1471
"1,2-dehydropenicillide",369.13739,8.151,"","","Organic oxygen compounds","Organooxygen compounds","Ethers",NA,NA,NA,NA,0.00991140241288402,0.0193255759769161,0.0217189729183882,1472
"Linoleyl hydroxamic acid",296.25638,5.656,"","","Organic acids and derivatives","Carboxylic acids and derivatives","Carboxylic acid derivatives",NA,NA,NA,NA,-0.0194881487900685,0.00945155555883742,0.0216591746321424,1473
"6-methoxy-1,2-dimethyl-3,4-dihydro-1h-isoquinolin-7-ol",208.13112,4.488,"","","Organoheterocyclic compounds","Tetrahydroisoquinolines","",NA,NA,NA,NA,-0.0206640754584098,-0.00645697502526225,0.0216494004773276,1474
"(R)-2,3-Dihydroxy-3-Methylbutanoate",133.05093,0.965,"HMDB0012141","C04272","Lipids and lipid-like molecules","Fatty Acyls","Fatty acids and conjugates",NA,NA,NA,NA,0.0208857990515295,-0.00569270920998453,0.0216477144329445,1475
"Citrifelin A",325.14636,6.853,"","","Lignans, neolignans and related compounds","Aryltetralin lignans","",NA,NA,NA,NA,0.0142589601473387,-0.0162786859877079,0.0216405536428667,1476
"[R-(E,E)]-13,14-Dihydroxy-6,10,14-trimethyl-5,9-pentadecadien-2-one",297.24335,8.374,"","","Lipids and lipid-like molecules","Prenol lipids","Sesquiterpenoids",NA,NA,NA,NA,-0.000425431165662429,-0.0216337372266431,0.0216379199108455,1477
"Chalcone",209.09593,6.582,"HMDB0003066","C01484","Phenylpropanoids and polyketides","Linear 1,3-diarylpropanoids","Chalcones and dihydrochalcones",NA,NA,NA,NA,-0.00633929877674077,0.020645812655626,0.0215971361340339,1478
"Alpha-Terthienyl",246.98062,8.866,"HMDB0245378","C08460","Organoheterocyclic compounds","Bi- and oligothiophenes","",NA,NA,NA,NA,0.0183411560727995,0.0113041629845461,0.0215448858634241,1479
"7-Formyl-3-Methoxy-5-Methylindanone",205.08585,5.823,"","","Benzenoids","Indanes","Indanones",NA,NA,NA,NA,0.00320543187377109,-0.0213045578004956,0.0215443490635491,1480
"(3ar,3bs,7s,9ar)-1-acetyl-1,3a,3b,7-tetrahydroxy-9a,11a-dimethyl-2h,3h,4h,6h,7h,8h,9h,9bh,10h,11h-cyclopenta[a]phenanthren-11-yl acetate",421.22321,7.026,"","","Lipids and lipid-like molecules","Steroids and steroid derivatives","Pregnane steroids",NA,NA,NA,NA,0.012575339579726,0.0174559583735134,0.0215139407892477,1481
"6-[4'-(2-carboxyethyl)-2,4'-dimethyl-5-methylidene-5'-(prop-1-en-2-yl)-3',3'a,5',6'-tetrahydro-2'h-spiro[cyclopentane-1,1'-inden]-2-yl]-2-methyl-4-oxohept-2-enoic acid",481.29639,8.829,"","","Lipids and lipid-like molecules","Prenol lipids","Sesquiterpenoids",NA,NA,NA,NA,0.0103168063367716,0.018798972870066,0.0214438306736443,1482
"Campafungin B",383.22113,7.649,"","","Lipids and lipid-like molecules","Fatty Acyls","Fatty acids and conjugates",NA,NA,NA,NA,-0.0145194995662412,-0.0157575371424647,0.0214269886930066,1483
"Dihydro-3-hydroxy-3-(1-hydroxyethyl)-4-methylfuran-2(3H)-one",159.06601,0.374,"","","Organoheterocyclic compounds","Lactones","Gamma butyrolactones",NA,NA,NA,NA,-7.92280523728271e-06,0.021426819526391,0.0214268209911637,1484
"Ferruginene C",341.21082,8.098,"","","Unknown","","",NA,NA,NA,NA,0.016658207266946,0.0134742206926954,0.0214254636501522,1485
"N-palmitoyl serine",342.26495,8.028,"HMDB0241932","","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues",NA,NA,NA,NA,0.00959793294916025,-0.0191130784191083,0.0213876151908426,1486
"Beilschmiedic Acid O",415.19122,8.088,"","","Benzenoids","Benzene and substituted derivatives","",NA,NA,NA,NA,0.0160178620271115,0.0140800422166747,0.0213264974326053,1487
"3H-pseudozoanthoxanthin",269.15414,7.261,"","","Organic nitrogen compounds","Organonitrogen compounds","Amines",NA,NA,NA,NA,0.0203880907688206,0.00609301417633775,0.0212790758011414,1488
"2-((4R)-4-((3R,5R,6S,7R,9S,10R,13R,14S,17R)-3,6,7-trihydroxy-10,13-dimethylhexadecahydro-1H-cyclopenta[a]phenanthren-17-yl)pentanamido)ethane-1-sulfonic acid",480.27774,7.774,"","","Lipids and lipid-like molecules","Steroids and steroid derivatives","Bile acids, alcohols and derivatives",NA,NA,NA,NA,0.0140487432995478,-0.0159802145519888,0.0212775573180801,1489
"Polysin",336.23193,5.315,"","","Organoheterocyclic compounds","Indoles and derivatives","Indoles",NA,NA,NA,NA,0.0145727805187105,0.0154975140993573,0.0212729611315935,1490
"1-Methyl-4-(1-methylethenyl)-2,3-dioxabicyclo[2.2.2]oct-5-ene",167.10895,7.183,"HMDB0036878","","Organoheterocyclic compounds","Dioxanes","1,2-dioxanes",NA,NA,NA,NA,-0.0101398762016791,-0.0187000269812548,0.0212722377404221,1491
"3-(2-hydroxy-4-methoxyphenyl)-3,4-dihydro-2H-1-benzopyran-7-ol",273.10269,7.193,"","","Phenylpropanoids and polyketides","Isoflavonoids","O-methylated isoflavonoids",NA,NA,NA,NA,-0.0199687242175146,-0.00722707288914156,0.0212363021597481,1492
"Anhydropisatin",297.07529,7.172,"HMDB0301941","","Phenylpropanoids and polyketides","Isoflavonoids","Furanoisoflavonoids",NA,NA,NA,NA,0.0212188790372767,-0.000691506696763836,0.0212301438786988,1493
"5-Pyridoxolactone",164.03537,3.941,"HMDB0004291","C06052","Organoheterocyclic compounds","Pyridines and derivatives","Pyridinecarboxylic acids and derivatives",NA,NA,NA,NA,0.0171260616106766,-0.0125374988180632,0.0212247700318667,1494
"(1r,2s,4s,6r,7s,10s,11r,18r)-7,11-dimethyl-14-oxo-6-[(1r)-1-[(3r,5s)-1,5,6,6-tetramethyl-2,7,8-trioxabicyclo[3.2.1]octan-3-yl]ethyl]-5-oxapentacyclo[8.8.0.0,.0,.0,]octadeca-12,15-dien-18-yl acetate",541.31531,9.058,"","","Unknown","","",NA,NA,NA,NA,-0.018498743584283,-0.0103329314200984,0.0211889826544246,1495
"4-Hydroxycoumarin",163.03899,5.571,"","C20414","Phenylpropanoids and polyketides","Coumarins and derivatives","Hydroxycoumarins",NA,NA,NA,NA,0.0146764388918868,0.0152357051487295,0.021154776527449,1496
"N-Ethyl trans-2-cis-6-nonadienamide",182.15425,8.435,"HMDB0032273","C06551","Lipids and lipid-like molecules","Fatty Acyls","Fatty amides",NA,NA,NA,NA,-0.0153206536761962,0.0145691579646207,0.0211419675731473,1497
"Nigramide F",571.28217,7.576,"","","Organoheterocyclic compounds","Benzodioxoles","",NA,NA,NA,NA,-0.00382048932865709,0.0207562034837456,0.0211048838368998,1498
"Botryosphaeridione",205.08589,7.836,"","","Organic oxygen compounds","Organooxygen compounds","Carbonyl compounds",NA,NA,NA,NA,0.0170498854940366,0.01242689566317,0.0210980172334528,1499
"2-hydroxy-4-isopropyl-7,8-dimethoxy-6-methylnaphthalene-1-carbaldehyde",289.14407,7.001,"","","Lipids and lipid-like molecules","Prenol lipids","Sesquiterpenoids",NA,NA,NA,NA,-0.0017395144361265,-0.0210244082546485,0.0210962473660987,1500
"Cer(t18:0/22:0(2OH))",654.60162,8.824,"","","Lipids and lipid-like molecules","Sphingolipids","Ceramides",NA,NA,NA,NA,0.0169020484969265,0.0125339165912509,0.0210422980805065,1501
"3-benzyl-5,11-dihydroxy-6,9,12-triisopropyl-1,7-dioxa-4,10-diazacyclododeca-4,10-diene-2,8-dione",447.25058,7.683,"","","Organic acids and derivatives","Peptidomimetics","Depsipeptides",NA,NA,NA,NA,0.0111358959977526,-0.017851192626633,0.0210398017544348,1502
"4-hydroxy-crotonic acid",101.02434,0.281,"HMDB0003381","","Lipids and lipid-like molecules","Fatty Acyls","Fatty acids and conjugates",NA,NA,NA,NA,0.00373743320945679,0.0206791112905124,0.0210141393057281,1503
"Thespone",241.08554,6.015,"","","Lipids and lipid-like molecules","Prenol lipids","Sesquiterpenoids",NA,NA,NA,NA,-0.0110859031737041,-0.0178336165495904,0.0209984553816362,1504
"hexadeca-7,10,13-trienal",235.20538,7.779,"","","Lipids and lipid-like molecules","Fatty Acyls","Fatty aldehydes",NA,NA,NA,NA,-0.0181135148710972,-0.0104943339731494,0.0209339548706272,1505
"(3E,5Z,7Z,9E)-Trideca-3,5,7,9-tetraene",177.16396,8.831,"","","Hydrocarbons","Unsaturated hydrocarbons","Olefins",NA,NA,NA,NA,-0.0183517931194615,0.0100204667997573,0.020909281804609,1506
"dodecanamide",200.20105,7.061,"HMDB0251566","C13831","Lipids and lipid-like molecules","Fatty Acyls","Fatty amides",NA,NA,NA,NA,-0.0184699111740675,-0.00976405160402078,0.0208919678944786,1507
"(+)-6-O-demethylpestalotiopsin A",325.20224,5.784,"","","Unknown","","",NA,NA,NA,NA,-0.013510296745589,-0.0159337458481055,0.0208904852721494,1508
"Bacillamidin F",242.24803,8.173,"","","Lipids and lipid-like molecules","Fatty Acyls","Fatty amides",NA,NA,NA,NA,-0.0177633630476763,-0.0109867824668417,0.020886513728654,1509
"(+)-Vulgraon B",217.19469,7.719,"","","Lipids and lipid-like molecules","Prenol lipids","Sesquiterpenoids",NA,NA,NA,NA,-0.0189332825580886,-0.00877423212174771,0.0208675906072246,1510
"1,4-Cyclohexanedione",113.05982,0.27,"","C08063","Organic oxygen compounds","Organooxygen compounds","Carbonyl compounds",NA,NA,NA,NA,0.0118531292133544,0.0171254423507163,0.0208273245486832,1511
"Bicalamenene",435.32513,8.083,"","","Unknown","","",NA,NA,NA,NA,0.00921230594100364,-0.018676357171477,0.0208248144756977,1512
"Serratamolide E",485.28226,6.576,"","","Phenylpropanoids and polyketides","Macrolides and analogues","",NA,NA,NA,NA,-0.0187347486134547,-0.00905341230556552,0.020807572659585,1513
"Cyclo-(L-Ile-L-Glu-L-Ile-L-Glu)",485.26617,9.044,"","","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues",NA,NA,NA,NA,-0.00265931892760001,-0.0206226288709179,0.0207933835319389,1514
"Trichodepsipeptide B",675.42206,8.595,"","","Organic acids and derivatives","Peptidomimetics","Depsipeptides",NA,NA,NA,NA,-0.0190166389259318,0.00840215081778609,0.0207901104952352,1515
"Artemidinol",217.06992,4.192,"HMDB0030647","","Phenylpropanoids and polyketides","Isocoumarins and derivatives","",NA,NA,NA,NA,0.00413683113316663,0.0203707304662527,0.020786534861613,1516
"4-Acetylpyridine",122.05744,0.552,"","","Organic oxygen compounds","Organooxygen compounds","Carbonyl compounds",NA,NA,NA,NA,-0.0199346558435107,0.005878671673072,0.0207833896234227,1517
"2-hydroxy-4-methoxy-6-propylbenzoic acid",209.08168,5.517,"","","Benzenoids","Benzene and substituted derivatives","Benzoic acids and derivatives",NA,NA,NA,NA,0.00616132267217368,0.0198454416766457,0.0207798809527819,1518
"4-hydroxy-2-methyl-7-[(E)-prop-1-enyl]-3,4-dihydro-2H-pyrano[3,2-c]pyran-5-one",221.08153,4.897,"","","Organoheterocyclic compounds","Isocoumarans","Isobenzofuranones",NA,NA,NA,NA,-0.00586748456078921,0.0199114951069356,0.0207580108022088,1519
"(9s)-4-methoxy-9-methyl-2h,6h,7h,8h,9h-[1,3]dioxolo[4,5-h]isoquinoline",222.11247,0.906,"","","Organoheterocyclic compounds","Tetrahydroisoquinolines","",NA,NA,NA,NA,0.0206222691135557,0.00230599307871296,0.0207507972731408,1520
"Trisodium 3-hydroxy-2-(phosphonatooxy)propanoate",186.98087,9.412,"","","Unknown","","",NA,NA,NA,NA,0.0172705071497052,0.0115008161394668,0.0207494382835256,1521
"N-(n-octyl)-2-pyrrolidinone",198.18465,5.986,"","","Organoheterocyclic compounds","Pyrrolidines","N-alkylpyrrolidines",NA,NA,NA,NA,0.0178478621433233,0.0105363731858685,0.0207258616949685,1522
"Preussin C",304.26031,8.833,"","","Organic nitrogen compounds","Organonitrogen compounds","Amines",NA,NA,NA,NA,-0.0174168038184122,-0.0112114295341457,0.0207133099104941,1523
"Agistatin B",215.12492,3.885,"","","Organoheterocyclic compounds","Dioxanes","1,3-dioxanes",NA,NA,NA,NA,0.0123479475731858,0.0165983481717508,0.0206876042909953,1524
"3-hydroxy-16-methyl-heptadecanoic acid",299.25928,8.98,"","","Lipids and lipid-like molecules","Fatty Acyls","Fatty acids and conjugates",NA,NA,NA,NA,-0.0205019315154904,-0.00268098075178025,0.0206764806883878,1525
"PC(P-18:0/16:0)",746.60217,8.161,"HMDB0011239","","Lipids and lipid-like molecules","Glycerophospholipids","Glycerophosphocholines",NA,NA,NA,NA,-0.000908927836223952,0.0206318671364253,0.0206518786396437,1526
"PG 36:2",773.5318,9.352,"HMDB0010605","","Lipids and lipid-like molecules","Glycerophospholipids","Glycerophosphoglycerols",NA,NA,NA,NA,0.0194649120630254,0.00685217347690366,0.0206357719259274,1527
"17-methyl-9,12-dioxo-15-oxapentacyclo[12.6.0.0,.0,.0,]icosa-8(13),10-diene-5-carboxylic acid",355.15677,8.967,"","","Unknown","","",NA,NA,NA,NA,-0.00148548763388722,0.0205661954252875,0.0206197737083012,1528
"Liphagal",355.17679,8.651,"","","Organoheterocyclic compounds","Benzofurans","",NA,NA,NA,NA,-0.00711435757036197,-0.019350090548781,0.0206165003791863,1529
